track_id,facility,configuration,location,length_mi,shape,surface,road_course,turns,banking,primary_family,secondary_family,tire_degradation_prior,track_position_premium_prior,passing_difficulty_prior,attrition_risk_prior,restart_volatility_prior,pit_road_importance_prior,qualifying_importance_prior,strategy_flexibility_prior,dfs_dominator_concentration_prior,finish_variance_prior,key_comparables,key_change_notes,racing_analysis,dfs_betting_implications,source_ids,confidence,status,completed_points_races_2015_2025,completed_points_races_2026_through_cutoff,future_scheduled_points_races_2026,scheduled_points_races_2026_total,scope_event_count_including_2026_schedule,first_year_in_scope,last_year_in_scope_or_schedule,event_count_evidence,score_type,evidence_class,structural_nearest_neighbors
daytona_oval,Daytona International Speedway,2.5-mile oval,"Daytona Beach, Florida",2.5,high-banked tri-oval,asphalt,False,4,31 deg turns; 18 deg tri-oval,Drafting superspeedway,large-pack drafting,2,3,2,10,10,6,2,8,3,10,Talladega; Atlanta post-2022,Traditional restrictor-plate venue through the 2019 Daytona 500; tapered-spacer superspeedway packages thereafter. Treat each major package revision as an era break.,"Pack position is a transient state rather than a stable speed ranking. Lane energy, manufacturer cooperation, pit-cycle drafting partners and avoidance probability often matter more than five-lap isolated speed. Daytona is more handling-sensitive than Talladega because its corners are tighter and the surface/bumps can separate cars late in runs.","DFS: place differential and survival generally dominate conventional dominator logic, but front-row cars can still score early laps led. Betting: demand a large uncertainty premium; matchup and finishing-position markets should incorporate correlated wreck exposure rather than independent driver risk.",S003;S004;S036;S037,High,historical/current,22,1,1,2,24,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,talladega_oval (92.9); atlanta_post_2022 (37.1)
talladega_oval,Talladega Superspeedway,2.66-mile oval,"Talladega, Alabama",2.66,high-banked tri-oval,asphalt,False,4,33 deg turns; 16.5 deg tri-oval,Drafting superspeedway,largest-pack drafting,2,2,1,10,10,6,2,9,2,10,Daytona; Atlanta post-2022,Traditional restrictor-plate venue through 2018; first tapered-spacer superspeedway package in spring 2019.,"The width and long lap sustain multi-lane packs and make raw passing counts deceptively high: many passes are low-value oscillations inside a connected draft. The actionable unit is often lane/pack position entering late restarts, not cumulative green-flag passes.",DFS: maximize correlated upside carefully and avoid projecting multiple high-priced dominators. Betting: outright prices should be flatter than at any non-drafting oval; top-10 parlays are especially exposed to common-cause crash risk.,S003;S004;S036;S037,High,historical/current,22,1,1,2,24,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,daytona_oval (92.9); atlanta_post_2022 (36.1)
atlanta_pre_2022,Atlanta Motor Speedway,pre-2022 1.54-mile oval,"Hampton, Georgia",1.54,quad-oval,aged asphalt,False,4,24 deg turns,Intermediate oval,worn-surface high-degradation intermediate,10,4,4,5,6,7,5,7,8,6,Homestead; Darlington; Chicagoland; Auto Club,Configuration used through 2021; not comparable to the 2022+ drafting layout despite the same facility.,"Old Atlanta rewarded throttle control, searching for multiple grooves and managing severe falloff. Long-run speed and driver adaptability carried more signal than short-run qualifying trim.",DFS: strong dominator potential and meaningful fastest-lap concentration; practice long-run averages and historical high-wear skill deserve heavy weight. Betting: upgrades drivers who preserve rear tire and move lanes; downgrade models that pool post-2022 results.,S004;S012;S013;S014;S015;S016;S017;S018;S023,High,historical/current,8,0,0,0,8,2015,2021,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,homestead (95.0); chicagoland_oval (94.0); kansas (89.4); texas_pre_2017 (89.4); darlington (87.3)
atlanta_post_2022,EchoPark Speedway (Atlanta),2022+ 1.54-mile drafting oval,"Hampton, Georgia",1.54,narrow high-banked quad-oval,asphalt,False,4,28 deg turns,Condensed drafting speedway,hybrid pack/intermediate,4,5,3,9,10,6,3,8,4,9,Daytona; Talladega; unique one-of-one,"Between 2021 and 2022, banking increased 24 to 28 degrees and width narrowed 55 to 40 feet, creating NASCAR’s third drafting-style track. Surface aging may gradually increase lift and tire management.","This is not simply a small Daytona. The shorter lap, narrow surface and tighter radius compress reaction time, increase blockage and make track position more persistent when the field becomes two-wide. As the surface ages, the track may migrate toward a hybrid state where handling and tire falloff matter earlier.",DFS: balance place differential with some laps-led exposure because leaders can defend more effectively than at Talladega. Betting: separate early-era 2022-23 data from later surface-aging races and model crash risk plus handling sensitivity jointly.,S001;S002;S003;S023,High,historical/current,8,2,0,2,10,2022,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,daytona_oval (37.1); talladega_oval (36.1)
auto_club_2mi,Auto Club Speedway,2.0-mile D-oval,"Fontana, California",2.0,wide D-oval,aged asphalt,False,4,14 deg turns,High-speed intermediate,wide worn multi-groove,8,4,3,6,8,7,5,8,7,7,Michigan; Homestead; old Atlanta; Chicagoland,Cup points races in scope through 2023. Proposed future short-track redevelopment is not included because it is not on the 2026 points schedule.,"Width, seams and surface age created multiple usable lanes and substantial speed variation across a fuel run. Compared with Michigan, Fontana placed more emphasis on tire life, lane searching and traffic management.",DFS: place differential and long-run ceiling could coexist; a fast car starting deep was less trapped than at narrow intermediates. Betting: historical Auto Club performance transfers better to worn multi-groove tracks than to current drafting Atlanta.,S003;S004;S012;S013;S014;S015;S016;S017;S019;S020,High,historical/current,8,0,0,0,8,2015,2023,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,michigan (84.1); chicagoland_oval (39.0); homestead (38.8); atlanta_pre_2022 (38.6); kansas (38.1)
charlotte_oval,Charlotte Motor Speedway,1.5-mile oval,"Concord, North Carolina",1.5,quad-oval,asphalt,False,4,24 deg turns,Intermediate oval,high-speed conventional 1.5-mile,5,7,6,4,7,8,7,6,8,4,Las Vegas; Kansas; Texas; Kentucky post-2016,Fall oval race replaced by the Roval beginning in 2018; the Coca-Cola 600’s distance is a material event-format modifier.,"Charlotte is a balanced intermediate test: aerodynamic platform, traffic behavior, pit execution and changing day-to-night conditions all matter. The 600 creates more pit cycles and more opportunity for elite teams to recover, but also more mechanical and execution exposure.","DFS: dominator scoring is central because of lap count, especially in the 600; split exposure among plausible long-run leaders rather than overusing place differential. Betting: team depth, pit crew and adjustment quality deserve more weight than at shorter 400-mile intermediates.",S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S001,High,historical/current,15,1,0,1,16,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,las_vegas (96.8); kentucky_pre_2016 (94.7); texas_pre_2017 (91.8); kansas (90.0); kentucky_post_2016 (90.0)
chicagoland_oval,Chicagoland Speedway,1.5-mile oval,"Joliet, Illinois",1.5,tri-oval,aged asphalt,False,4,18 deg turns,Intermediate oval,worn progressive multi-groove,8,5,4,5,7,7,5,8,8,6,Homestead; Kansas; old Atlanta; Auto Club,Hosted Cup through 2019 and returned to the points schedule in 2026. The long hiatus creates a surface/field-experience discontinuity.,"Progressive banking and aging asphalt reward lane migration and tire management. The 2026 return should be treated as a new observation on an old geometry: historical driver skill is relevant, but setup priors need shrinkage because the car, tire and surface age changed during the absence.","DFS: long-run practice and driver high-line skill should be emphasized, with reduced confidence in pre-Next Gen raw averages. Betting: look for market overreaction either to old-track specialists or to complete dismissal of historical skill; blend both with strong era shrinkage.",S004;S012;S013;S014;S015;S016;S035;S001;S002,Medium-High,historical/current,5,1,0,1,6,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,homestead (98.9); atlanta_pre_2022 (94.0); kansas (92.8); texas_pre_2017 (92.8); darlington (88.7)
darlington,Darlington Raceway,1.366-mile egg-shaped oval,"Darlington, South Carolina",1.366,asymmetrical egg-shaped oval,highly abrasive asphalt,False,4,25 deg turns 1-2; 23 deg turns 3-4,Intermediate oval,extreme tire-wear driver track,10,6,5,7,7,8,6,8,8,7,Homestead; old Atlanta; Chicagoland,"Geometry is intentionally asymmetric; same-facility data remains more portable across packages than generic intermediate averages, but tire compounds are critical.","Darlington separates entry precision, wall proximity, tire conservation and traffic technique. Average running position is more informative than finish because wall contact, late cautions and tire cycles can distort the box score.","DFS: prioritize sustained speed and fastest-lap potential; dominators often emerge, but tire-cycle timing can split laps led. Betting: driver skill and team adjustment quality deserve a larger coefficient than at smooth, symmetric 1.5-mile tracks.",S003;S004;S006;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S001,High,historical/current,18,1,1,2,20,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,homestead (89.6); chicagoland_oval (88.7); texas_pre_2017 (87.9); atlanta_pre_2022 (87.3); kansas (86.2)
homestead,Homestead-Miami Speedway,1.5-mile oval,"Homestead, Florida",1.5,progressive-banked oval,abrasive asphalt,False,4,18-20 deg progressive,Intermediate oval,high-line tire-management intermediate,9,5,4,5,7,7,5,8,8,6,Darlington; Chicagoland; old Atlanta,Calendar placement moved from championship finale to regular/playoff roles and back to the 2026 championship finale; pressure context is not a physical track trait.,"Progressive banking supports several lanes, while the wall-adjacent high line can generate speed at elevated risk. Long-run throttle control and the ability to change lanes as rubber builds are highly portable skills.","DFS: dominator and fastest-lap upside is high; do not overrate qualifying alone. Betting: reward drivers with proven tire conservation and high-line confidence, while separating championship incentives from ordinary race pace.",S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S001,High,historical/current,11,0,1,1,12,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,chicagoland_oval (98.9); atlanta_pre_2022 (95.0); kansas (91.8); texas_pre_2017 (91.8); darlington (89.6)
kansas,Kansas Speedway,1.5-mile oval,"Kansas City, Kansas",1.5,tri-oval,asphalt,False,4,17-20 deg variable/progressive,Intermediate oval,multi-groove Next Gen benchmark,7,6,4,4,8,7,6,7,8,5,Las Vegas; Homestead; Chicagoland; Charlotte,No major configuration split in scope; package and tire eras remain essential.,"Kansas has become one of the most informative Next Gen intermediates because multiple lanes, side draft and tire falloff allow both car quality and driver decision-making to express. Restarts create large but not purely random position swings.","DFS: one or two dominators are often viable, but deep-starting elite cars retain recovery paths. Betting: Kansas is a strong donor track for other multi-groove intermediates, with recent Next Gen performance weighted heavily.",S003;S004;S006;S007;S008;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S001,High,historical/current,22,1,1,2,24,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,texas_pre_2017 (95.7); chicagoland_oval (92.8); las_vegas (92.8); homestead (91.8); kentucky_pre_2016 (90.9)
